,source,target
0,14,94
1,16,129
2,16,164
3,16,69
4,17,56
5,17,128
6,18,191
7,19,95
8,19,191
9,19,129
10,20,191
11,24,191
12,26,94
13,27,127
14,27,63
15,27,57
16,27,163
17,27,89
18,28,150
19,40,58
20,41,129
21,41,69
22,41,66
23,41,76
24,41,77
25,42,125
26,42,89
27,43,164
28,45,164
29,47,125
30,49,171
31,59,66
32,59,63
33,59,50
34,59,76
35,59,77
36,59,53
37,59,85
38,59,94
39,59,248
40,62,66
41,62,69
42,62,119
43,62,199
44,62,183
45,63,95
46,65,49
47,65,76
48,65,77
49,65,85
50,66,151
51,68,50
52,69,50
53,69,76
54,69,77
55,73,220
56,74,50
57,74,76
58,74,77
59,74,52
60,75,50
61,81,191
62,81,167
63,81,259
64,82,122
65,82,126
66,84,151
67,84,54
68,87,76
69,87,77
70,89,122
71,89,126
72,89,50
73,89,234
74,92,58
75,106,151
76,106,146
77,106,147
78,106,144
79,108,127
80,108,56
81,108,128
82,108,94
83,108,119
84,108,199
85,108,246
86,108,147
87,108,248
88,108,57
89,108,163
90,108,234
91,108,236
92,108,72
93,109,83
94,110,127
95,111,158
96,111,162
97,111,247
98,111,64
99,120,171
100,121,55
101,121,217
102,122,169
103,123,127
104,123,67
105,123,131
106,123,162
107,123,247
108,126,169
109,132,161
110,132,169
111,132,167
112,132,259
113,132,55
114,132,217
115,132,143
116,137,124
117,137,125
118,139,83
119,139,54
120,140,56
121,140,128
122,140,68
123,140,83
124,143,54
125,143,83
126,143,49
127,144,72
128,146,252
129,148,83
130,154,143
131,155,221
132,155,55
133,155,217
134,156,143
135,156,151
136,158,55
137,158,217
138,159,72
139,159,158
140,162,146
141,164,57
142,164,163
143,165,143
144,166,144
145,173,83
146,174,125
147,177,242
148,177,235
149,184,56
150,184,128
151,184,167
152,184,259
153,185,83
154,185,54
155,185,158
156,185,52
157,189,55
158,189,217
159,191,83
160,195,143
161,195,147
162,195,145
163,196,169
164,196,172
165,197,94
166,199,246
167,199,54
168,199,65
169,199,68
170,199,83
171,200,83
172,201,55
173,201,217
174,206,72
175,211,83
176,211,55
177,211,217
178,211,68
179,211,52
180,211,54
181,212,94
182,212,67
183,212,131
184,218,167
185,218,259
186,218,83
187,218,68
188,218,54
189,224,143
190,227,158
191,227,83
192,227,76
193,227,77
194,227,215
195,227,157
196,227,233
197,227,234
198,238,94
199,240,94
200,240,143
201,240,144
202,240,54
203,240,231
204,240,56
205,240,128
206,240,83
207,240,158
208,240,68
209,240,52
210,240,55
211,240,217
212,240,76
213,240,77
214,240,50
215,240,88
216,240,122
217,240,126
218,240,123
219,240,99
220,240,193
221,240,105
222,240,93
223,240,142
224,240,252
225,240,232
226,240,223
227,240,49
228,240,233
229,240,57
230,240,163
231,240,220
232,240,215
233,240,179
234,240,149
235,240,141
236,240,127
237,240,156
238,240,72
239,240,125
240,240,183
241,242,164
242,242,147
243,246,72
244,246,143
245,247,143
246,247,144
247,247,147
248,249,157
249,249,107
250,249,195
251,250,143
252,250,144
253,252,94
254,252,141
255,252,57
256,252,163
257,257,76
258,257,77
259,257,57
260,257,163
261,258,125
262,260,94
263,260,142
264,260,157
265,261,64
266,262,55
267,262,217
268,264,167
269,264,259
270,264,157
271,266,94
272,266,121
273,266,110
274,266,200
275,266,54
276,266,233
277,266,236
278,266,183
279,267,94
280,267,57
281,267,163
282,270,57
283,270,163
284,270,127
285,271,147
286,271,144
287,271,164
288,271,236
289,271,187
290,272,171
291,274,142
292,274,144
293,277,169
294,278,158
295,278,157
296,279,127
297,279,55
298,279,217
299,279,121
300,279,116
301,279,205
302,279,183
303,279,57
304,279,163
305,282,169
306,283,94
307,283,67
308,283,131
309,283,174
310,283,98
311,285,157
312,286,144
313,287,157
314,288,144
315,289,125
316,290,144
317,290,143
318,290,125
319,293,143
320,293,144
321,293,242
322,293,68
323,293,54
324,293,55
325,293,217
326,293,147
327,295,252
328,295,171
329,295,170
330,299,179
331,303,144
332,306,127
333,306,157
334,306,94
335,308,157
336,309,144
337,310,55
338,310,217
339,310,144
340,311,191
341,315,94
342,321,125
343,321,156
344,321,93
345,321,179
346,325,98
347,325,125
348,326,144
349,326,94
350,326,223
351,327,55
352,327,217
353,328,97
354,328,156
355,334,127
356,334,167
357,334,259
358,334,68
359,334,143
360,334,56
361,334,128
362,334,162
363,334,247
364,346,94
365,346,167
366,346,259
367,347,94
368,347,161
369,351,97
370,351,98
371,351,155
372,355,258
373,355,167
374,355,259
375,356,144
376,359,127
377,360,97
378,360,122
379,360,126
380,361,94
381,361,236
382,362,143
383,362,144
384,362,97
385,364,225
386,365,156
387,366,127
388,367,231
389,367,152
390,371,94
391,375,110
392,375,200
393,377,127
394,378,125
395,385,258
396,385,167
397,385,259
398,388,94
399,388,67
400,388,131
401,388,122
402,388,126
403,388,141
404,389,125
405,390,143
406,392,167
407,392,259
408,392,183
409,393,156
410,393,167
411,393,259
412,393,127
413,393,94
414,394,161
415,394,149
416,394,223
417,397,155
418,397,97
419,398,167
420,398,259
421,402,94
422,402,125
423,406,258
424,410,71
425,412,167
426,412,259
427,412,258
428,412,125
429,413,162
430,413,247
431,415,225
432,415,161
433,416,225
434,416,179
435,417,158
436,424,54
437,429,125
438,431,94
439,431,161
440,433,94
441,433,125
442,433,122
443,433,126
444,433,56
445,433,128
446,433,167
447,433,259
448,433,258
449,435,94
450,436,97
451,439,167
452,439,259
453,440,144
454,440,149
455,440,143
456,442,125
457,444,56
458,444,128
459,444,144
460,444,167
461,444,259
462,444,52
463,446,119
464,446,199
465,451,172
466,452,94
467,453,94
468,453,122
469,453,126
470,453,124
471,453,93
472,454,125
473,464,94
474,464,143
475,468,125
476,468,94
477,470,143
478,470,144
479,470,94
480,474,94
481,474,96
482,478,94
483,478,161
484,478,119
485,478,199
486,478,143
487,478,96
488,478,167
489,478,259
490,478,127
491,478,67
492,478,131
493,479,94
494,492,167
495,492,259
496,492,94
497,493,94
498,493,141
499,493,96
500,494,94
501,494,149
502,494,167
503,494,259
504,494,141
505,494,56
506,494,128
507,494,156
508,494,161
509,494,119
510,494,199
511,495,67
512,495,131
513,495,119
514,495,199
515,495,96
516,497,225
517,498,94
518,498,67
519,498,131
520,498,127
521,498,142
522,498,122
523,498,126
524,498,96
525,498,124
526,498,167
527,498,259
528,501,223
529,505,142
530,505,149
531,506,94
532,506,67
533,506,131
534,508,110
535,508,200
536,509,71
537,510,67
538,510,131
539,510,119
540,510,199
541,510,161
542,510,94
543,510,54
544,510,71
545,510,225
546,510,167
547,510,259
548,510,96
549,511,94
550,511,67
551,511,131
552,511,167
553,511,259
554,512,94
555,512,67
556,512,131
557,513,94
558,513,67
559,513,131
560,513,225
561,513,149
562,513,144
563,513,84
564,513,257
565,513,223
566,513,232
567,513,222
568,513,124
569,513,234
570,513,119
571,513,199
572,513,71
573,513,127
574,513,89
575,518,141
576,518,144
577,518,54
578,522,149
579,524,67
580,524,131
581,524,119
582,524,199
583,524,141
584,524,121
585,524,94
586,524,127
587,525,94
588,525,67
589,525,131
590,525,149
591,529,94
592,531,94
593,531,96
594,531,107
595,531,195
596,532,144
597,532,149
598,536,56
599,536,128
600,538,107
601,538,195
602,542,167
603,542,259
604,547,124
605,548,54
606,548,120
607,548,167
608,548,259
609,548,49
610,548,71
611,548,124
612,550,94
613,550,67
614,550,131
615,550,96
616,553,94
617,554,56
618,554,128
619,557,149
620,563,96
621,563,94
622,563,142
623,567,94
624,567,107
625,567,195
626,570,94
627,573,110
628,573,200
629,573,105
630,573,142
631,573,67
632,573,131
633,573,122
634,573,126
635,573,52
636,573,183
637,573,94
638,574,94
639,576,94
640,580,94
641,584,94
642,584,107
643,584,195
644,586,122
645,586,126
646,592,94
647,596,55
648,596,217
649,598,110
650,598,200
651,599,94
652,599,67
653,599,131
654,599,107
655,599,195
656,599,96
657,599,99
658,599,193
659,599,127
660,601,161
661,602,94
662,602,67
663,602,131
664,602,107
665,602,195
666,603,94
667,603,127
668,603,67
669,603,131
670,603,142
671,604,94
672,604,67
673,604,131
674,604,191
675,604,127
676,604,257
677,611,83
678,614,94
679,614,67
680,614,131
681,614,119
682,614,199
683,614,127
684,615,67
685,615,131
686,615,122
687,615,126
688,616,161
689,619,94
690,619,167
691,619,259
692,619,124
693,619,67
694,619,131
695,620,94
696,624,94
697,626,99
698,626,193
699,626,67
700,626,131
701,632,94
702,632,127
703,632,167
704,632,259
705,632,142
706,632,123
707,633,94
708,637,94
709,641,94
710,641,119
711,641,199
712,641,67
713,641,131
714,641,127
715,641,149
716,641,88
717,641,93
718,642,94
719,646,94
720,647,94
721,648,161
722,648,94
723,648,67
724,648,131
725,648,167
726,648,259
727,653,67
728,653,131
729,653,94
730,654,236
731,655,71
732,655,219
733,655,54
734,657,144
735,663,94
736,663,107
737,663,195
738,665,121
739,666,94
740,667,94
741,669,94
742,669,122
743,669,126
744,672,83
745,677,122
746,677,126
747,681,96
748,687,94
749,693,142
750,694,94
751,694,125
752,695,94
753,699,110
754,699,200
755,699,107
756,699,195
757,699,142
758,704,94
759,704,234
760,708,94
761,708,125
762,708,167
763,708,259
764,709,124
765,711,71
766,712,94
767,715,110
768,715,200
769,716,161
770,718,94
771,718,127
772,718,49
773,719,94
774,719,119
775,719,199
776,719,107
777,719,195
778,720,161
779,720,167
780,720,259
781,720,172
782,721,161
783,728,94
784,728,124
785,733,94
786,736,94
787,737,94
788,737,141
789,738,124
790,740,94
791,741,94
792,741,67
793,741,131
794,747,94
795,747,123
796,747,122
797,747,126
798,750,161
799,750,151
800,750,94
801,755,94
802,756,94
803,756,107
804,756,195
805,756,108
806,756,67
807,756,131
808,763,51
809,764,94
810,765,94
811,765,161
812,765,149
813,765,71
814,765,225
815,765,236
816,765,142
817,765,123
818,765,183
819,765,51
820,765,235
821,765,107
822,765,195
823,765,49
824,765,97
825,765,67
826,765,131
827,765,144
828,766,235
829,767,94
830,767,67
831,767,131
832,767,89
833,767,122
834,767,126
835,768,94
836,769,67
837,769,131
838,770,94
839,770,107
840,770,195
841,772,94
842,772,161
843,773,94
844,773,67
845,773,131
846,773,124
847,774,94
848,775,94
849,775,161
850,777,94
851,777,67
852,777,131
853,781,83
854,783,51
855,788,94
856,791,96
857,795,94
858,795,161
859,796,67
860,796,131
861,796,94
862,796,156
863,796,124
864,797,94
865,798,94
866,798,161
867,798,141
868,800,94
869,801,94
870,803,161
871,804,122
872,804,126
873,804,124
874,804,94
875,804,105
876,804,119
877,804,199
878,804,110
879,804,200
880,804,107
881,804,195
882,804,67
883,804,131
884,804,179
885,806,119
886,806,199
887,806,105
888,806,52
889,806,161
890,806,125
891,806,122
892,806,126
893,806,121
894,806,50
895,806,183
896,808,52
897,814,94
898,818,94
899,818,107
900,818,195
901,818,108
902,818,67
903,818,131
904,818,99
905,818,193
906,818,105
907,818,111
908,818,204
909,820,94
910,820,138
911,820,167
912,820,259
913,822,94
914,822,107
915,822,195
916,825,125
917,825,94
918,826,94
919,826,161
920,826,110
921,826,200
922,832,94
923,833,105
924,833,94
925,833,107
926,833,195
927,834,49
928,834,94
929,837,94
930,838,94
931,838,105
932,838,122
933,838,126
934,838,67
935,838,131
936,839,94
937,840,71
938,841,94
939,841,67
940,841,131
941,841,121
942,843,94
943,843,127
944,843,121
945,843,161
946,846,94
947,850,94
948,850,67
949,850,131
950,853,161
951,854,144
952,854,122
953,854,126
954,855,94
955,855,143
956,857,161
957,859,71
958,859,88
959,862,83
960,863,94
961,863,122
962,863,126
963,870,231
964,871,161
965,871,94
966,871,167
967,871,259
968,875,94
969,877,94
970,878,94
971,878,161
972,881,94
973,883,149
974,886,161
975,887,89
976,887,161
977,887,49
978,889,167
979,889,259
980,890,94
981,890,161
982,893,94
983,893,161
984,894,94
985,894,67
986,894,131
987,896,94
988,896,67
989,896,131
990,898,119
991,898,199
992,898,127
993,899,161
994,902,94
995,903,94
996,904,264
997,904,57
998,904,163
999,905,94
1000,909,94
1001,909,161
1002,910,94
1003,912,225
1004,913,83
1005,916,231
1006,918,161
1007,918,94
1008,918,89
1009,918,127
1010,918,165
1011,918,83
1012,919,52
1013,920,94
1014,921,124
1015,925,234
1016,925,52
1017,925,236
1018,925,225
1019,925,222
1020,925,215
1021,926,94
1022,934,127
1023,938,94
1024,939,94
1025,941,161
1026,941,89
1027,941,142
1028,944,167
1029,944,259
1030,945,122
1031,945,126
1032,946,94
1033,946,191
1034,948,94
1035,948,67
1036,948,131
1037,951,94
1038,951,67
1039,951,131
1040,951,161
1041,951,142
1042,951,127
1043,953,94
1044,954,94
1045,955,94
1046,955,67
1047,955,131
1048,957,138
1049,958,94
1050,958,67
1051,958,131
1052,958,222
1053,958,167
1054,958,259
1055,958,157
1056,959,162
1057,959,247
1058,961,167
1059,961,259
1060,961,94
1061,962,94
1062,962,106
1063,962,197
1064,962,67
1065,962,131
1066,962,122
1067,962,126
1068,964,67
1069,964,131
1070,964,161
1071,964,122
1072,964,126
1073,964,219
1074,964,94
1075,965,55
1076,965,217
1077,973,238
1078,973,52
1079,973,67
1080,973,131
1081,973,94
1082,980,94
1083,981,94
1084,985,94
1085,985,107
1086,985,195
1087,985,108
1088,987,122
1089,987,126
1090,990,94
1091,990,67
1092,990,131
1093,992,94
1094,992,125
1095,993,94
1096,993,155
1097,993,143
